Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
WeeWiki,norms-single,en,material-attributes,with,window,184,5,0.8532522474881015,0.001121798172162721
WeeWiki,norms-single,en,material-attributes,without,window,184,5,0.8750220341970739,0.007280760242574788
WeeWiki,norms-single,en,size-and-shape-attributes,with,window,484,4,0.8821537203179716,0.02845580529621386
WeeWiki,norms-single,en,size-and-shape-attributes,without,window,484,4,0.8739104874370575,0.0207646532455935
WeeWiki,norms-single,en,tactile-attributes,with,window,212,6,0.7970489604292421,0.033981726616961076
WeeWiki,norms-single,en,tactile-attributes,without,window,212,6,0.8066398390342053,0.023626791441982216
Wiki,mcrae-single,en,colour-attributes,with,sentence,276,6,0.8405797101449276,0.022334833344090456
Wiki,mcrae-single,en,colour-attributes,without,sentence,276,6,0.8514492753623188,0.018474708382582562
Wiki,mcrae-single,en,component-attributes,with,sentence,220,6,0.8770825620140689,0.04906766279176389
Wiki,mcrae-single,en,component-attributes,without,sentence,220,6,0.8680735530050598,0.02377257527296761
Wiki,mcrae-single,en,material-attributes,with,sentence,288,4,0.8993055555555557,0.021404215288086736
Wiki,mcrae-single,en,material-attributes,without,sentence,288,4,0.875,0.04735479755897867
Wiki,mcrae-single,en,size-and-shape-attributes,with,sentence,466,4,0.8561483319547835,0.03243756013088536
Wiki,mcrae-single,en,size-and-shape-attributes,without,sentence,466,4,0.8625999448580094,0.020271835621935345
Wiki,mcrae-single,en,tactile-attributes,with,sentence,234,7,0.8803418803418803,0.03364960629919576
Wiki,mcrae-single,en,tactile-attributes,without,sentence,234,7,0.8760683760683761,0.024174590809796514
Wiki,mcrae-single,en,colour-attributes,with,syntactic,276,6,0.8768115942028986,0.005123962182511236
Wiki,mcrae-single,en,colour-attributes,without,syntactic,276,6,0.8768115942028986,0.02049584873004479
Wiki,mcrae-single,en,component-attributes,with,syntactic,220,6,0.8863383931877084,0.017230768275779462
Wiki,mcrae-single,en,component-attributes,without,syntactic,220,6,0.8954708132790324,0.0061383833718108545
Wiki,mcrae-single,en,material-attributes,with,syntactic,288,4,0.8854166666666666,0.008505172717997162
Wiki,mcrae-single,en,material-attributes,without,syntactic,288,4,0.8854166666666666,0.014731391274719792
Wiki,mcrae-single,en,size-and-shape-attributes,with,syntactic,466,4,0.8389716018748277,0.027742292518016465
Wiki,mcrae-single,en,size-and-shape-attributes,without,syntactic,466,4,0.8432313206506755,0.04506642591163569
Wiki,mcrae-single,en,tactile-attributes,with,syntactic,234,7,0.8675213675213675,0.03676207379078046
Wiki,mcrae-single,en,tactile-attributes,without,syntactic,234,7,0.8803418803418803,0.02179068168202046
Wiki,mcrae-single,en,colour-attributes,with,window,276,6,0.8768115942028986,0.013556729662224347
Wiki,mcrae-single,en,colour-attributes,without,window,276,6,0.8623188405797101,0.010247924365022369
Wiki,mcrae-single,en,component-attributes,with,window,220,6,0.872639763050722,0.017618850063075592
Wiki,mcrae-single,en,component-attributes,without,window,220,6,0.881648772059731,0.02635397357995033
