Corpus,Dataset,Language,Relation Type,Data Type,Extraction Method,N Concepts,N Features,F1 Score,Std
WeeWiki,norms-single,en,material-attributes,with,window,92,5,0.8265232974910394,0.038722950067582834
WeeWiki,norms-single,en,material-attributes,without,window,92,5,0.8157706093189964,0.05344229052219585
WeeWiki,norms-single,en,size-and-shape-attributes,with,window,242,4,0.5782407407407407,0.05835795961555094
WeeWiki,norms-single,en,size-and-shape-attributes,without,window,242,4,0.5453189300411523,0.027697739437304875
WeeWiki,norms-single,en,tactile-attributes,with,window,106,6,0.6137566137566138,0.042775413611444935
WeeWiki,norms-single,en,tactile-attributes,without,window,106,6,0.6137566137566138,0.042775413611444935
Wiki,mcrae-single,en,colour-attributes,with,sentence,138,6,0.3840579710144927,0.03694941676516511
Wiki,mcrae-single,en,colour-attributes,without,sentence,138,6,0.3550724637681159,0.010247924365022395
Wiki,mcrae-single,en,component-attributes,with,sentence,110,6,0.7812812812812813,0.041761061151157484
Wiki,mcrae-single,en,component-attributes,without,sentence,110,6,0.7992992992992992,0.07013081879714918
Wiki,mcrae-single,en,material-attributes,with,sentence,144,4,0.6805555555555557,0.039283710065919325
Wiki,mcrae-single,en,material-attributes,without,sentence,144,4,0.6666666666666666,0.05892556509887896
Wiki,mcrae-single,en,size-and-shape-attributes,with,sentence,233,4,0.6011211011211012,0.05671024892910849
Wiki,mcrae-single,en,size-and-shape-attributes,without,sentence,233,4,0.5751470751470751,0.01701472760586019
Wiki,mcrae-single,en,tactile-attributes,with,sentence,117,7,0.5384615384615384,0.03626188621469475
Wiki,mcrae-single,en,tactile-attributes,without,sentence,117,7,0.547008547008547,0.05268729917067502
Wiki,mcrae-single,en,colour-attributes,with,syntactic,138,6,0.40579710144927533,0.051239621825112186
Wiki,mcrae-single,en,colour-attributes,without,syntactic,138,6,0.36231884057971014,0.02711345932444885
Wiki,mcrae-single,en,component-attributes,with,syntactic,110,6,0.7905405405405405,0.036176527937407686
Wiki,mcrae-single,en,component-attributes,without,syntactic,110,6,0.7630130130130132,0.049724919937168884
Wiki,mcrae-single,en,material-attributes,with,syntactic,144,4,0.6458333333333334,0.06804138174397711
Wiki,mcrae-single,en,material-attributes,without,syntactic,144,4,0.673611111111111,0.08391004148329563
Wiki,mcrae-single,en,size-and-shape-attributes,with,syntactic,233,4,0.557997557997558,0.02298921902779329
Wiki,mcrae-single,en,size-and-shape-attributes,without,syntactic,233,4,0.6051726051726053,0.011098901043395493
Wiki,mcrae-single,en,tactile-attributes,with,syntactic,117,7,0.5811965811965812,0.09440479501869452
Wiki,mcrae-single,en,tactile-attributes,without,syntactic,117,7,0.547008547008547,0.06043647702449124
Wiki,mcrae-single,en,colour-attributes,with,window,138,6,0.3768115942028985,0.04466966668818098
Wiki,mcrae-single,en,colour-attributes,without,window,138,6,0.3043478260869565,0.06399826714730322
Wiki,mcrae-single,en,component-attributes,with,window,110,6,0.754004004004004,0.061004626113517764
Wiki,mcrae-single,en,component-attributes,without,window,110,6,0.7722722722722722,0.04845816793777631
Wiki,mcrae-single,en,material-attributes,with,window,144,4,0.6527777777777778,0.08729031312483701
Wiki,mcrae-single,en,material-attributes,without,window,144,4,0.6944444444444445,0.04280843057617344
Wiki,mcrae-single,en,size-and-shape-attributes,with,window,233,4,0.5794205794205793,0.06290666270747852
Wiki,mcrae-single,en,size-and-shape-attributes,without,window,233,4,0.5624930624930625,0.056530723000348136
Wiki,mcrae-single,en,tactile-attributes,with,window,117,7,0.5555555555555556,0.07352414758156092
Wiki,mcrae-single,en,tactile-attributes,without,window,117,7,0.5897435897435898,0.08374323906951037
Wiki,norms-single,en,color-attributes,with,sentence,133,5,0.39141414141414144,0.061958808820127775
Wiki,norms-single,en,color-attributes,without,sentence,133,5,0.3907407407407408,0.06865756620623163
Wiki,norms-single,en,component-attributes,with,sentence,35,2,0.914141414141414,0.003571246369629025
Wiki,norms-single,en,component-attributes,without,sentence,35,2,0.914141414141414,0.003571246369629025
Wiki,norms-single,en,material-attributes,with,sentence,92,5,0.8591397849462364,0.03909604077999539
Wiki,norms-single,en,material-attributes,without,sentence,92,5,0.8372759856630824,0.04464056624212264
Wiki,norms-single,en,size-and-shape-attributes,with,sentence,242,4,0.586522633744856,0.04794746436313572
Wiki,norms-single,en,size-and-shape-attributes,without,sentence,242,4,0.5949588477366256,0.024609345966303705
Wiki,norms-single,en,tactile-attributes,with,sentence,106,6,0.6134920634920634,0.051299563845054956
Wiki,norms-single,en,tactile-attributes,without,sentence,106,6,0.6507936507936507,0.016187363535215184
